Q3 5/93, 20 executions, 0.5s
Q3 10/93, 40 executions, 1.1s
Q3 15/93, 60 executions, 1.7s
Q3 20/93, 80 executions, 2.3s
Q3 25/93, 100 executions, 2.9s
Q3 30/93, 120 executions, 3.4s
Q3 35/93, 140 executions, 3.9s
Q3 40/93, 160 executions, 4.5s
Q3 45/93, 180 executions, 5.0s
Q3 50/93, 200 executions, 5.6s
Q3 55/93, 220 executions, 6.1s
Q3 60/93, 240 executions, 6.6s
Q3 65/93, 260 executions, 7.2s
Q3 70/93, 280 executions, 7.7s
Q3 75/93, 300 executions, 8.3s
Q3 76/93, 304 executions, 8.4s
Q3 77/93, 308 executions, 8.5s
Q3 78/93, 312 executions, 8.6s
Q3 79/93, 316 executions, 8.7s
Q3 80/93, 320 executions, 8.9s
Q3 81/93, 324 executions, 9.0s
Q3 82/93, 328 executions, 9.1s
Q3 83/93, 332 executions, 9.2s
Q3 84/93, 336 executions, 9.3s
Q3 85/93, 340 executions, 9.4s
Q3 86/93, 344 executions, 9.5s
Q3 87/93, 348 executions, 9.6s
Q3 88/93, 352 executions, 9.7s
Q3 89/93, 356 executions, 9.8s
Q3 90/93, 360 executions, 9.8s
Q3 91/93, 364 executions, 9.9s
Q3 92/93, 368 executions, 10.0s
Q3 93/93, 372 executions, 10.1s
Q4 5/93, 422 executions, 12.6s
Q4 10/93, 472 executions, 15.2s
Q4 15/93, 522 executions, 17.8s
Q4 20/93, 572 executions, 20.3s
Q4 25/93, 622 executions, 22.8s
Q4 30/93, 672 executions, 25.3s
Q4 35/93, 722 executions, 27.9s
Q4 40/93, 772 executions, 30.4s
Q4 45/93, 822 executions, 33.0s
Q4 50/93, 872 executions, 35.5s
Q4 55/93, 922 executions, 37.8s
Q4 60/93, 972 executions, 40.4s
Q4 65/93, 1022 executions, 42.9s
Q4 70/93, 1072 executions, 45.5s
Q4 75/93, 1122 executions, 47.9s
Q4 76/93, 1132 executions, 48.3s
Q4 77/93, 1142 executions, 48.7s
Q4 78/93, 1152 executions, 49.1s
Q4 79/93, 1162 executions, 49.7s
Q4 80/93, 1172 executions, 50.2s
Q4 81/93, 1182 executions, 50.8s
Q4 82/93, 1192 executions, 51.2s
Q4 83/93, 1202 executions, 51.7s
Q4 84/93, 1212 executions, 52.1s
Q4 85/93, 1222 executions, 52.6s
Q4 86/93, 1232 executions, 53.2s
Q4 87/93, 1242 executions, 53.7s
Q4 88/93, 1252 executions, 54.3s
Q4 89/93, 1262 executions, 54.8s
Q4 90/93, 1272 executions, 55.2s
Q4 91/93, 1282 executions, 55.9s
Q4 92/93, 1292 executions, 56.6s
Q4 93/93, 1302 executions, 57.1s
Completed 1302 executions
