Q3 5/93, 15 executions, 0.4s
Q3 10/93, 30 executions, 0.8s
Q3 15/93, 45 executions, 1.2s
Q3 20/93, 60 executions, 1.5s
Q3 25/93, 75 executions, 1.9s
Q3 30/93, 90 executions, 2.3s
Q3 35/93, 105 executions, 2.7s
Q3 40/93, 120 executions, 3.1s
Q3 45/93, 135 executions, 3.5s
Q3 50/93, 150 executions, 3.9s
Q3 55/93, 165 executions, 4.2s
Q3 60/93, 180 executions, 4.5s
Q3 65/93, 195 executions, 4.9s
Q3 70/93, 210 executions, 5.3s
Q3 75/93, 225 executions, 5.7s
Q3 76/93, 228 executions, 5.8s
Q3 77/93, 231 executions, 5.9s
Q3 78/93, 234 executions, 5.9s
Q3 79/93, 237 executions, 6.0s
Q3 80/93, 240 executions, 6.1s
Q3 81/93, 243 executions, 6.2s
Q3 82/93, 246 executions, 6.3s
Q3 83/93, 249 executions, 6.3s
Q3 84/93, 252 executions, 6.4s
Q3 85/93, 255 executions, 6.5s
Q3 86/93, 258 executions, 6.6s
Q3 87/93, 261 executions, 6.7s
Q3 88/93, 264 executions, 6.7s
Q3 89/93, 267 executions, 6.8s
Q3 90/93, 270 executions, 6.8s
Q3 91/93, 273 executions, 6.9s
Q3 92/93, 276 executions, 7.0s
Q3 93/93, 279 executions, 7.0s
Q4 5/93, 324 executions, 8.9s
Q4 10/93, 369 executions, 10.9s
Q4 15/93, 414 executions, 12.9s
Q4 20/93, 459 executions, 14.8s
Q4 25/93, 504 executions, 16.7s
Q4 30/93, 549 executions, 18.5s
Q4 35/93, 594 executions, 20.4s
Q4 40/93, 639 executions, 22.3s
Q4 45/93, 684 executions, 24.2s
Q4 50/93, 729 executions, 26.0s
Q4 55/93, 774 executions, 27.9s
Q4 60/93, 819 executions, 29.9s
Q4 65/93, 864 executions, 31.9s
Q4 70/93, 909 executions, 33.9s
Q4 75/93, 954 executions, 35.7s
Q4 76/93, 963 executions, 36.0s
Q4 77/93, 972 executions, 36.2s
Q4 78/93, 981 executions, 36.5s
Q4 79/93, 990 executions, 36.8s
Q4 80/93, 999 executions, 37.1s
Q4 81/93, 1008 executions, 37.4s
Q4 82/93, 1017 executions, 37.7s
Q4 83/93, 1026 executions, 38.0s
Q4 84/93, 1035 executions, 38.3s
Q4 85/93, 1044 executions, 38.7s
Q4 86/93, 1053 executions, 39.1s
Q4 87/93, 1062 executions, 39.4s
Q4 88/93, 1071 executions, 39.7s
Q4 89/93, 1080 executions, 40.0s
Q4 90/93, 1089 executions, 40.3s
Q4 91/93, 1098 executions, 40.8s
Q4 92/93, 1107 executions, 41.3s
Q4 93/93, 1116 executions, 41.7s
Completed 1116 executions
